,Unnamed: 0,ev_city,ev_country,ev_state,latitude,longitude
962,16848,VACHERIE       ,USA,LA,30.0110809,-90.71971429999999
963,16873,Tartu,EN,,,
964,16902,SHIP SHOAL 90  ,,GM,36.8373845,-75.9918861
965,16903,WALDRON        ,USA,WA,48.700545,-123.0280704
966,16941,Cabo San Lucas,MX,,22.8905327,-109.9167371
967,16944,Indianapolis,USA,IN,39.768403,-86.158068
968,16960,NORTH LAS VEGAS,USA,NV,36.1988592,-115.1175013
969,16971,Veradero,CU,,23.179858,-81.1885293
970,16976,MONTREAL,CA,,45.5016889,-73.567256
971,17166,LONDON         ,USA,KY,37.1289771,-84.08326459999999
972,17176,Cairn Gorm,UK,,57.0724694,-3.609350399999999
973,17179,VENTURA        ,USA,CA,34.274646,-119.2290316
974,17194,YAKUTAT        ,USA,AK,59.54694439999999,-139.7272222
975,17210,LITTLETON      ,USA,CO,39.613321,-105.0166498
976,17223,MISSING        ,,CB,-25.994065,152.5615394
977,17225,GALESBURG      ,USA,IL,40.94781580000001,-90.3712395
978,17277,MILOLII        ,USA,HI,19.18652,-155.906006
979,17307,ALPENA         ,USA,MI,45.0616794,-83.4327528
980,17357,TAKU           ,USA,AK,61.1609702,-149.8770255
981,17360,FRENCHGLEN     ,USA,OR,42.8279687,-118.9152153
982,17384,BURLINGTON TWP.,USA,NJ,40.0561471,-74.84588219999999
983,17398,SMITHERS       ,CA,,54.782355,-127.1685541
984,17405,Perigueux,FR,,45.184029,0.7211149
985,17406,Borneo Island,MY,FN,,
986,17420,PILOT POINT    ,USA,AK,57.56416669999999,-157.5791667
987,17450,MIAMI          ,USA,FL,25.7616798,-80.1917902
988,17466,El Peru,BL,,-12.0266134,-77.09801410000001
989,17483,Rio Frio,MX,,22.9240359,-102.8034321
990,17496,VANCOUVER      ,USA,WA,45.6387281,-122.6614861
991,17506,BOSTON         ,USA,MA,42.3600825,-71.0588801
992,17510,ANCHORAGE      ,USA,AK,61.2180556,-149.9002778
993,17512,BRUNSWICK      ,USA,GA,31.1499528,-81.49148939999999
994,17525,Bjornon,SW,FN,,
995,17552,ATLANTA        ,USA,ID,43.8016606,-115.1270768
996,17563,KOS            ,GR,,36.8925871,27.2877926
997,17565,SARASOTA       ,USA,FL,27.3364347,-82.53065269999999
998,17566,BALTIMORE      ,USA,MD,39.2903848,-76.6121893
999,17572,PHOENIX        ,USA,AZ,33.4483771,-112.0740373
1000,17585,SPARTA         ,USA,NJ,41.0334562,-74.6363588
1001,17598,FORT LAUDERDALE,USA,FL,26.1224386,-80.13731740000001
1002,17599,MAUI           ,USA,HI,20.7983626,-156.3319253
1003,17641,CHICAGO        ,USA,IL,41.8781136,-87.6297982
1004,17675,Guatemala City,GT,,14.6349149,-90.5068824
1005,17678,PACIFIC OCEAN  ,,PO,-8.783195,-124.508523
1006,17689,MEADVIEW       ,USA,AZ,36.002155,-114.0684841
1007,17690,EAST BOSTON    ,USA,MA,42.37021370000001,-71.0388601
1008,17696,Kurnoon,IN,,15.8281257,78.0372792
1009,17703,FORT MYERS     ,USA,FL,26.640628,-81.8723084
1010,17708,MANOKOTAK      ,USA,AK,58.98138889999999,-159.0583332
1011,17717,AL MANAMAH     ,BA,,26.2285161,50.5860497
1012,17725,LONE ROCK      ,USA,WI,43.18332350000001,-90.1979016
1013,17777,UNIONVILLE     ,USA,PA,40.907282,-77.87555870000001
1014,17817,Helsinki,FI,,60.16985569999999,24.938379
1015,17822,MYRTLE BEACH   ,USA,SC,33.6890603,-78.8866943
1016,17827,CHOTEAU        ,USA,MT,47.8124531,-112.1836301
1017,17840,Treviso,IT,,45.6668893,12.2430437
1018,17843,LAWTON         ,USA,OK,34.6035669,-98.39592909999999
1019,17865,CHARLOTTE      ,USA,NC,35.2270869,-80.8431267
1020,17901,ALBANY         ,USA,NY,42.6525793,-73.7562317
1021,17919,NEAR BRIDEPORT ,USA,CA,38.2557045,-119.2313932
1022,17926,EAGLE          ,USA,AK,64.78805559999999,-141.2
1023,17936,HARLINGEN      ,USA,TX,26.1906306,-97.69610259999999
1024,17938,KAMUELA        ,USA,HI,20.0230556,-155.6716667
1025,17962,BARROW         ,USA,AK,71.29055559999999,-156.7886111
1026,17998,Santa Cruz ,MX,,31.23242639999999,-110.5967674
1027,18000,KAILUA-KONA    ,USA,HI,19.639994,-155.9969261
1028,18004,NEWARK         ,USA,NJ,40.735657,-74.1723667
1029,18025,Sirnach,SZ,,47.4618426,8.9968358
1030,18056,Minneapolis,USA,MN,44.977753,-93.2650108
1031,18086,"Fox Creek, Alberta",CA,,54.40217,-116.808907
1032,18126,HOWELL         ,USA,MI,42.6072552,-83.9293952
1033,18134,MIAMI          ,USA,FL,25.7616798,-80.1917902
1034,18144,LAMPASAS       ,USA,TX,31.06378399999999,-98.18169569999999
1035,18150,Detroit,USA,MI,42.331427,-83.0457538
1036,18174,W. COLUMBIA    ,USA,SC,33.9934867,-81.0739825
1037,18205,Caracas,VE,,10.4805937,-66.90360629999999
1038,18209,ESCANABA       ,USA,MI,45.74524659999999,-87.06458010000001
1039,18212,TORONTO ,CA,,43.653226,-79.3831843
1040,18225,SKWENTNA       ,USA,AK,61.923613,-151.1683574
1041,18260,"Oey, Gemeinde Saanen",SZ,,,
1042,18268,DENVER         ,USA,CO,39.7392358,-104.990251
1043,18277,TEPIC          ,MX,,21.5041651,-104.8945887
1044,18283,PIOCHE         ,USA,NV,37.9298739,-114.4516203
1045,18288,Girona,SP,,-23.602368,-46.8379941
1046,18290,BARROW         ,USA,AK,71.29055559999999,-156.7886111
1047,18300,MARSEILLE,FR,,43.296482,5.36978
1048,18301,TANANA         ,USA,AK,65.1719444,-152.0788889
