,ev_city,ev_country,ev_state,latitude,longitude
41602,ROCK SPRINGS   ,USA,WY,,
41615,MOSINEE        ,USA,WI,,
41642,Inshas,EG,,,
41653,DEADHORSE      ,USA,AK,,
41654,ANIAK          ,USA,AK,,
41673,AUBURN         ,USA,AL,,
41676,NAPLES         ,IT,,,
41698,MIAMI          ,USA,FL,,
41745,Guam,,PO,,
41773,PORT GRAHAM    ,USA,AK,,
41787,EAST MORICHES  ,USA,NY,,
41795,POLLOCK PINES  ,USA,CA,,
41868,COVINGTON      ,USA,KY,,
41894,Santo Domingo,EC,,,
41903,HELENA         ,USA,MT,,
41904,DEADHORSE      ,USA,AK,,
41937,HANALEI        ,USA,HI,,
41938,GEORGETOWN     ,USA,CO,,
41941,ANIAK          ,USA,AK,,
41959,LONDON         ,UK,,,
41960,SPOKANE        ,USA,WA,,
41967,BURLINGTON     ,USA,CO,,
41979,KELOWNA        ,CA,,,
41981,LOS ANGELES    ,USA,CA,,
42008,CHICAGO        ,USA,IL,,
42022,Nurnberg,GE,,,
42030,GUSTAVUS       ,USA,AK,,
42034,OKLAHOMA CITY  ,USA,OK,,
42036,DULCE          ,USA,NM,,
42048,PERDE BAY      ,USA,AK,,
42052,ERIE           ,USA,PA,,
42070,ST. LOUIS      ,USA,MO,,
42115,,BC,,,
42120,KOTZEBUE       ,USA,AK,,
42123,Helsinki,FI,,,
42124,BUGA,CO,,,
42207,ALLENDALE      ,USA,SC,,
42212,ATLANTA        ,USA,GA,,
42228,Palencia,SP,,,
42237,GREEN ISLAND   ,USA,AK,,
42267,MOMBOSA        ,KE,,,
42269,KODIAK         ,USA,AK,,
42275,Cambridge,UK,,,
42278,BURNS          ,USA,OR,,
42308,REGGIO CALABRIA,IT,,,
42356,Powell River BC,CA,,,
42374,MARION         ,USA,NC,,
42387,BETHEL         ,USA,AK,,
42412,PORT HEIDEN    ,USA,AK,,
42421,ATLANTA        ,USA,GA,,
42424,SEATTLE        ,USA,WA,,
42446,NEWARK         ,USA,NJ,,
42485,POINT HOPE     ,USA,AK,,
42503,LAS VEGAS      ,USA,NV,,
42539,NEAR KLAWOCK   ,USA,AK,,
42544,Santa Catarina Ixtahuacan,GT,,,
42553,BISMARCK       ,USA,ND,,
42557,BURGERSFORT,SF,,,
42588,CHICAGO        ,USA,IL,,
42609,PETERSBURG     ,USA,AK,,
42616,Buenos Aires,AR,,,
42627,COVINGTON      ,USA,KY,,
42641,RANCHO SANTA YN,MX,,,
42659,KETCHIKAN      ,USA,AK,,
42663,NAKNEK         ,USA,AK,,
42674,ALMOSA         ,USA,CO,,
42690,FLUSHING       ,USA,NY,,
42705,"Bourke , Australia",AS,,,
42737,DOUALA,CM,,,
42758,Memphis ,USA,TN,,
42806,NEWARK         ,USA,NJ,,
42817,"Vancouver, BC",CA,,,
42820,MIXCOLAJA      ,GT,,,
42836,GLARUS         ,SZ,,,
42849,LIHUE          ,USA,HI,,
42866,PARKLAND       ,USA,FL,,
42891,COLUMBUS       ,USA,OH,,
42915,WESTERLY       ,USA,RI,,
42936,MILWAUKEE      ,USA,WI,,
42957,CHICAGO        ,USA,IL,,
42959,Den Helder,NL,,,
42971,MEMPHIS        ,USA,TN,,
42977,KING SALMON    ,USA,AK,,
43004,NAVEGANTES,BR,,,
43005,WASHINGTON     ,USA,DC,,
43035,BRIDGEPORT     ,USA,CT,,
43114,NEAR NIGHTMUTE ,USA,AK,,
43117,Santiago de Compostela,SP,,,
43152,CHANTILLY      ,USA,VA,,
43157,Bar Harbor,USA,ME,,
43172,Eelde,NL,,,
43183,Providence,USA,RI,,
43189,FISH LAKE VALLE,USA,NV,,
43193,BELLE CHASSE   ,USA,LA,,
43204,SCAMMON BAY    ,USA,AK,,
43213,NIKOLAI        ,USA,AK,,
43253,HELENA         ,USA,MT,,
43277,KELLY AFB      ,USA,TX,,
43313,ANCHORAGE      ,USA,AK,,
43329,GRAYLING       ,USA,AK,,
43337,MANCHESTER     ,USA,NH,,
43353,MCGRATH        ,USA,AK,,
43362,KOTZEBUE       ,USA,AK,,
43365,Anchorage,USA,AK,,
43403,BRIDGEPORT     ,USA,CA,,
43438,Covington,UK,,,
43442,NUNAPITCHUK    ,USA,AK,,
43444,CAPE CANAVERAL ,USA,FL,,
43456,BRUNSWICK      ,USA,GA,,
43457,ARUBA          ,AA,,,
43481,Tallahassee,USA,FL,,
43489,Kahoolawe Isle,USA,HI,,
43497,HONOLULU       ,USA,HI,,
43519,ANGOLA         ,USA,IN,,
43523,JAMAICA        ,USA,NY,,
43524,WINDSOR LOCKS  ,USA,CT,,
43575,WAINWRIGHT     ,USA,AK,,
43588,ROMULUS        ,USA,MI,,
43589,SAN JOSE       ,CS,,,
43597,HUMUULA        ,USA,HI,,
43599,DFW AIRPORT    ,USA,TX,,
43633,WEST PALM BCH  ,USA,FL,,
43667,KODIAK         ,USA,AK,,
43696,FLUSHING       ,USA,NY,,
